Date,Weekday,District,Category,Incidents
1/1/2005,Friday,Bayview,Arson,3
1/1/2005,Friday,Bayview,Burglary,12
1/1/2005,Friday,Bayview,Larceny,20
1/1/2005,Friday,Bayview,Stolen Property,1
1/1/2005,Friday,Bayview,Vandalism,9
1/1/2005,Friday,Bayview,Vehicle Theft,27
1/1/2005,Friday,Central,Burglary,16
1/1/2005,Friday,Central,Larceny,35
1/1/2005,Friday,Central,Vandalism,7
1/1/2005,Friday,Central,Vehicle Theft,14
1/1/2005,Friday,Ingleside,Arson,2
1/1/2005,Friday,Ingleside,Burglary,12
1/1/2005,Friday,Ingleside,Larceny,17
1/1/2005,Friday,Ingleside,Stolen Property,2
1/1/2005,Friday,Ingleside,Vandalism,12
1/1/2005,Friday,Ingleside,Vehicle Theft,49
1/1/2005,Friday,Mission,Burglary,10
1/1/2005,Friday,Mission,Larceny,26
1/1/2005,Friday,Mission,Vandalism,10
1/1/2005,Friday,Mission,Vehicle Theft,33
1/1/2005,Friday,Northern,Burglary,16
1/1/2005,Friday,Northern,Larceny,36
1/1/2005,Friday,Northern,Stolen Property,2
1/1/2005,Friday,Northern,Vandalism,5
1/1/2005,Friday,Northern,Vehicle Theft,21
1/1/2005,Friday,Park,Burglary,11
1/1/2005,Friday,Park,Larceny,22
1/1/2005,Friday,Park,Stolen Property,1
1/1/2005,Friday,Park,Vandalism,5
1/1/2005,Friday,Park,Vehicle Theft,22
1/1/2005,Friday,Richmond,Burglary,11
1/1/2005,Friday,Richmond,Larceny,12
1/1/2005,Friday,Richmond,Vandalism,10
1/1/2005,Friday,Richmond,Vehicle Theft,21
1/1/2005,Friday,Southern,Burglary,27
1/1/2005,Friday,Southern,Larceny,68
1/1/2005,Friday,Southern,Stolen Property,4
1/1/2005,Friday,Southern,Vandalism,8
1/1/2005,Friday,Southern,Vehicle Theft,20
1/1/2005,Friday,Taraval,Burglary,12
1/1/2005,Friday,Taraval,Larceny,12
1/1/2005,Friday,Taraval,Vandalism,6
1/1/2005,Friday,Taraval,Vehicle Theft,35
1/1/2005,Friday,Tenderloin,Burglary,2
1/1/2005,Friday,Tenderloin,Larceny,20
1/1/2005,Friday,Tenderloin,Stolen Property,1
1/1/2005,Friday,Tenderloin,Vandalism,2
1/1/2005,Monday,Bayview,Arson,2
1/1/2005,Monday,Bayview,Burglary,7
1/1/2005,Monday,Bayview,Larceny,13
1/1/2005,Monday,Bayview,Stolen Property,2
1/1/2005,Monday,Bayview,Vandalism,8
1/1/2005,Monday,Bayview,Vehicle Theft,35
1/1/2005,Monday,Central,Burglary,11
1/1/2005,Monday,Central,Larceny,29
1/1/2005,Monday,Central,Stolen Property,1
1/1/2005,Monday,Central,Vandalism,6
1/1/2005,Monday,Central,Vehicle Theft,25
1/1/2005,Monday,Ingleside,Burglary,16
1/1/2005,Monday,Ingleside,Larceny,18
1/1/2005,Monday,Ingleside,Stolen Property,1
1/1/2005,Monday,Ingleside,Vandalism,10
1/1/2005,Monday,Ingleside,Vehicle Theft,54
1/1/2005,Monday,Mission,Burglary,18
1/1/2005,Monday,Mission,Larceny,34
1/1/2005,Monday,Mission,Vandalism,6
1/1/2005,Monday,Mission,Vehicle Theft,48
1/1/2005,Monday,Northern,Arson,1
1/1/2005,Monday,Northern,Burglary,14
1/1/2005,Monday,Northern,Larceny,52
1/1/2005,Monday,Northern,Stolen Property,1
1/1/2005,Monday,Northern,Vandalism,9
1/1/2005,Monday,Northern,Vehicle Theft,33
1/1/2005,Monday,Park,Burglary,8
1/1/2005,Monday,Park,Larceny,17
1/1/2005,Monday,Park,Stolen Property,1
1/1/2005,Monday,Park,Vandalism,5
1/1/2005,Monday,Park,Vehicle Theft,14
1/1/2005,Monday,Richmond,Burglary,5
1/1/2005,Monday,Richmond,Larceny,20
1/1/2005,Monday,Richmond,Vandalism,5
1/1/2005,Monday,Richmond,Vehicle Theft,16
1/1/2005,Monday,Southern,Burglary,15
1/1/2005,Monday,Southern,Larceny,67
1/1/2005,Monday,Southern,Vandalism,5
1/1/2005,Monday,Southern,Vehicle Theft,15
1/1/2005,Monday,Taraval,Burglary,11
1/1/2005,Monday,Taraval,Larceny,21
1/1/2005,Monday,Taraval,Vandalism,6
1/1/2005,Monday,Taraval,Vehicle Theft,34
1/1/2005,Monday,Tenderloin,Burglary,3
1/1/2005,Monday,Tenderloin,Larceny,21
1/1/2005,Monday,Tenderloin,Stolen Property,1
1/1/2005,Monday,Tenderloin,Vandalism,3
1/1/2005,Monday,Tenderloin,Vehicle Theft,8
1/1/2005,Saturday,Bayview,Arson,1
1/1/2005,Saturday,Bayview,Burglary,7
1/1/2005,Saturday,Bayview,Larceny,18
1/1/2005,Saturday,Bayview,Vandalism,11
1/1/2005,Saturday,Bayview,Vehicle Theft,30
1/1/2005,Saturday,Central,Burglary,10
1/1/2005,Saturday,Central,Larceny,59
1/1/2005,Saturday,Central,Vandalism,15
1/1/2005,Saturday,Central,Vehicle Theft,16
1/1/2005,Saturday,Ingleside,Burglary,4
1/1/2005,Saturday,Ingleside,Larceny,19
1/1/2005,Saturday,Ingleside,Vandalism,15
1/1/2005,Saturday,Ingleside,Vehicle Theft,20
1/1/2005,Saturday,Mission,Burglary,12
1/1/2005,Saturday,Mission,Larceny,44
1/1/2005,Saturday,Mission,Stolen Property,1
1/1/2005,Saturday,Mission,Vandalism,8
1/1/2005,Saturday,Mission,Vehicle Theft,27
1/1/2005,Saturday,Northern,Burglary,14
1/1/2005,Saturday,Northern,Larceny,64
1/1/2005,Saturday,Northern,Stolen Property,6
1/1/2005,Saturday,Northern,Vandalism,8
1/1/2005,Saturday,Northern,Vehicle Theft,29
1/1/2005,Saturday,Park,Burglary,9
1/1/2005,Saturday,Park,Larceny,20
1/1/2005,Saturday,Park,Vandalism,8
1/1/2005,Saturday,Park,Vehicle Theft,17
1/1/2005,Saturday,Richmond,Burglary,6
1/1/2005,Saturday,Richmond,Larceny,15
1/1/2005,Saturday,Richmond,Vandalism,9
1/1/2005,Saturday,Richmond,Vehicle Theft,18
1/1/2005,Saturday,Southern,Burglary,17
1/1/2005,Saturday,Southern,Larceny,89
1/1/2005,Saturday,Southern,Stolen Property,1
1/1/2005,Saturday,Southern,Vandalism,6
1/1/2005,Saturday,Southern,Vehicle Theft,23
1/1/2005,Saturday,Taraval,Burglary,7
1/1/2005,Saturday,Taraval,Larceny,23
1/1/2005,Saturday,Taraval,Stolen Property,1
1/1/2005,Saturday,Taraval,Vandalism,11
1/1/2005,Saturday,Taraval,Vehicle Theft,54
1/1/2005,Saturday,Tenderloin,Burglary,5
1/1/2005,Saturday,Tenderloin,Larceny,28
1/1/2005,Saturday,Tenderloin,Stolen Property,2
1/1/2005,Saturday,Tenderloin,Vandalism,5
1/1/2005,Saturday,Tenderloin,Vehicle Theft,7
1/1/2005,Sunday,Bayview,Arson,1
1/1/2005,Sunday,Bayview,Burglary,10
1/1/2005,Sunday,Bayview,Larceny,19
1/1/2005,Sunday,Bayview,Vandalism,10
1/1/2005,Sunday,Bayview,Vehicle Theft,39
1/1/2005,Sunday,Central,Burglary,8
