City,State,SizeRank,MarketHealthIndex,SellForGain,PrevForeclosed,ForeclosureRatio,ZHVI,MoM,YoY,ForecastYoYPctChange,StockOfREOs,NegativeEquity,Delinquency,DaysOnMarket
New York,NY,0,9.526413346,93.49,0.9324,0.5769,610700,0.626132806,8.898002853,0.044036352,11.9,0.08133425,0.130830268,166
Los Angeles,CA,1,7.001853568,93.64,5.4705,2.0276,562800,0.571837026,7.816091954,0.022805615,107.4,0.067477615,0.039871293,76
Philadelphia,PA,4,1.494902688,80,13.6842,4.641,120100,0.334168755,3.534482759,0.020574521,70.3,0.2161336,0.067620406,111
Phoenix,AZ,5,5.473586654,84.15,7.6968,3.0543,187200,0.862068966,9.090909091,0.038659188,92.2,0.179311172,0.023373999,68
Las Vegas,NV,6,2.96107507,81.2,13.261,4.7354,194000,0.674623768,9.542631282,0.059489691,88.5,0.223056902,0.076764043,78
San Diego,CA,8,8.556070436,88.07,3.8149,1.6844,528700,0.532420612,6.614236741,0.027665973,44.3,0.074846523,0.021122757,70
Dallas,TX,9,9.054680259,94.18,6.5959,4.0511,134200,0.750750751,15.98962835,0.061654247,62.2,0.083101387,0.024138656,73
San Jose,CA,10,9.122335496,95.64,3.3456,0.9157,808800,0.609528548,10.52200055,0.028187438,48.7,0.033369758,0.024816605,51
San Francisco,CA,12,9.410565338,97.44,1.311,0.3986,1118600,0.638776428,13.60958765,0.039469873,138.4,0.024385495,0.00723303,43
Columbus,OH,15,2.97497683,74.04,14.9694,7.2995,110400,1.098901099,7.184466019,0.039112319,72.9,0.190835265,0.044043794,80
Memphis,TN,16,0.833178869,73.26,21.28,10.2835,67800,0.295857988,1.497005988,0.035958702,73,0.234089849,0.053461919,86
Charlotte,NC,17,3.135310473,79.31,8.8688,5.7051,163700,0.367872471,6.092028516,0.035485644,66.5,0.130157935,0.04358689,85
Boston,MA,19,8.190917516,97.76,3.29,1.2154,478000,0.716392752,9.910324212,0.026811715,28.9,0.091515105,0.033045094,64
Seattle,WA,20,9.473586654,96.87,2.9508,1.4273,530100,0.569151964,13.10006401,0.067177891,35.1,0.066628477,0.011219316,46
Baltimore,MD,21,0.657089898,78.79,24.1068,8.7795,109700,0.54995417,1.951672862,0.015496809,102.9,0.248942506,0.078050452,121
