CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
4353474,1/1/15 19:08,1/2/15 5:17,1/2/15 5:17,Closed,Case Completed - resolved: 1098,DPW Ops Queue,Tree Maintenance,Damaged Tree,Fallen tree,Intersection of 5TH ST and HOWARD ST,6,South of Market,"(37.7814995480188, -122.404933396623)",Voice In,
4352835,1/1/15 14:39,1/5/15 8:42,1/5/15 8:42,Closed,Case Completed - resolved: SS 01/02/15 following up w/ WC on Ficus inspections here for removal postings. WC confirmed this section being inspected.,DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"551 OAK ST, SAN FRANCISCO, CA, 94102",5,Lower Haight,"(37.774152761246, -122.428423541017)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54a5cc81df866c252cc0d79e/report.jpg
4352539,1/1/15 12:19,1/20/15 10:16,1/20/15 10:16,Closed,Case Completed - resolved: no tree here,DPW Ops Queue,Tree Maintenance,Damaged Tree,Damaged vandalism,"222 BRIGHTON AVE, SAN FRANCISCO, CA, 94112",7,Ingleside,"(37.722313899511, -122.45496710212)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/54a5abd5df866c252cc0d5b0/report.jpg
4352518,1/1/15 12:11,,1/9/15 7:59,Open,accepted,DPW Ops Queue,Tree Maintenance,Damaged Tree,Fallen tree,"3615 ALEMANY BLVD, SAN FRANCISCO, CA, 94132",7,Merced Heights,"(37.711531688725, -122.464684730855)",Voice In,
4352023,1/1/15 7:21,1/1/15 12:19,1/1/15 12:19,Closed,Case Completed - resolved: start time---8:45am-------12:45pm  (  still out0,DPW Ops Queue,Tree Maintenance,Damaged Tree,Hanging limb,"1509 HYDE ST, SAN FRANCISCO, CA, 94109",3,Nob Hill,"(37.794719857683, -122.418358131548)",Voice In,
4351886,1/1/15 3:02,1/9/15 9:38,1/9/15 9:38,Closed,Case Completed - resolved:,DPW Ops Queue,Tree Maintenance,Tree Other,Other,Intersection of GILMAN AVE and PAUL AVE,10,Bret Harte,"(37.7224316822419, -122.395622621265)",Integrated Agency,
4356920,1/2/15 22:29,,1/5/15 11:30,Open,new,DPW BUF Queue,Tree Maintenance,Overgrown Tree,Pruning request,"235 FARALLONES ST, SAN FRANCISCO, CA, 94112",11,Oceanview,"(37.713930941214, -122.460376726503)",Web Self Service,
4356681,1/2/15 19:19,1/7/15 12:16,1/7/15 12:16,Closed,Case Completed - resolved:,DPW Ops Queue,Tree Maintenance,Tree Other,Other,Intersection of LOMBARD ST and RICHARDSON AVE,2,Cow Hollow,"(37.7988397194368, -122.444827846939)",Integrated Agency,
4356656,1/2/15 19:02,1/2/15 20:15,1/2/15 20:15,Closed,Case Completed - resolved: Sent Red Button,DPW Ops Queue,Tree Maintenance,Damaged Tree,Fallen tree,Intersection of LOMBARD ST and RICHARDSON AVE,2,Cow Hollow,"(37.7988397194368, -122.444827846939)",Voice In,
4356620,1/2/15 18:43,1/8/15 3:21,1/8/15 3:21,Closed,Case Completed - resolved:,DPW BUF Queue,Tree Maintenance,Damaged Tree,Hanging limb,Intersection of BEACH ST and POWELL ST,3,Fisherman's Wharf,"(37.8076904588466, -122.412329707243)",Voice In,
